ts_iso,symbol,last,high,low,volume,bid,ask,delta5s,trades5s,spread_avg,spread_max,vwap_session,vwap_rolling,vwap_active,cumulative_delta,vwap_s_std,vwap_s_up1,vwap_s_dn1,vwap_s_up2,vwap_s_dn2,vwap_r_std,vwap_r_up1,vwap_r_dn1,vwap_r_up2,vwap_r_dn2,spread_now,mid,pos_in_spread,range_1m,range_5m,pos_in_session
2025-08-27T21:24:45.0000000,ES SEP25,6487.25,6487.25,6487.25,13,6487.25,6487.25,14,12,0,0,6484.733973352,6487.16113487044,6484.733973352,140033,2.56024147150277,6487.2942148235,6482.17373188049,6489.854456295,6479.61349040899,0.742068873512145,6487.90320374395,6486.41906599693,6488.64527261746,6485.67699712342,0,6487.25,0.5,0.75,1,0.822222222222222
2025-08-27T21:24:50.0000000,ES SEP25,6487.25,6487.25,6487.25,42,6487.25,6487.25,94,74,0,0,6484.73548154597,6487.16258471964,6484.73548154597,140127,2.56021475220169,6487.29569629818,6482.17526679377,6489.85591105038,6479.61505204157,0.739699802272203,6487.90228452191,6486.42288491736,6488.64198432418,6485.68318511509,0,6487.25,0.5,0.75,1,0.822222222222222
2025-08-27T21:24:55.0000000,ES SEP25,6487.25,6487.25,6487.25,11,6487.25,6487.25,17,13,0,0,6484.73587625041,6487.16521631795,6484.73587625041,140144,2.56020761507604,6487.29608386549,6482.17566863534,6489.85629148057,6479.61546102026,0.739222904928202,6487.90443922288,6486.42599341302,6488.6436621278,6485.68677050809,0,6487.25,0.5,0.75,1,0.822222222222222
2025-08-27T21:25:00.0000000,ES SEP25,6487,6487,6487,11,6487,6487,17,17,0,0,6484.73623159457,6487.16608013828,6484.73623159457,140161,2.56016380825795,6487.29639540283,6482.17606778631,6489.85655921109,6479.61590397805,0.738992096529601,6487.90507223481,6486.42708804175,6488.64406433134,6485.68809594522,0,6487,0.5,1,1.25,0.8
2025-08-27T21:25:05.0000000,ES SEP25,6487,6487.25,6486.75,44,6487,6487,88,66,0,0,6484.7376518565,6487.16677421335,6484.7376518565,140249,2.55998821696582,6487.29764007347,6482.17766363954,6489.85762829043,6479.61767542257,0.736631462492495,6487.90340567585,6486.43014275086,6488.64003713834,6485.69351128837,0,6487,0.5,1.25,1.5,0.8
2025-08-27T21:25:10.0000000,ES SEP25,6486.75,6487,6486.75,5,6486.75,6486.75,10,10,0,0,6484.73780125564,6487.1665438467,6484.73780125564,140259,2.55995811310322,6487.29775936874,6482.17784314254,6489.85771748185,6479.61788502943,0.736407773999524,6487.9029516207,6486.4301360727,6488.6393593947,6485.6937282987,0,6486.75,0.5,1.25,1.5,0.777777777777778
2025-08-27T21:25:20.0000000,ES SEP25,6486.75,6486.75,6486.75,1,6486.75,6486.75,2,2,0,0,6484.73782994478,6487.1665438467,6484.73782994478,140261,2.55995113970185,6487.29778108448,6482.17787880508,6489.85773222418,6479.61792766537,0.736407773999524,6487.9029516207,6486.4301360727,6488.6393593947,6485.6937282987,0,6486.75,0.5,1.25,1.5,0.777777777777778
2025-08-27T21:25:25.0000000,ES SEP25,6486.5,6486.75,6486.5,18,6486.5,6486.5,36,30,0,0,6484.73830344756,6487.16473829199,6484.73830344756,140297,2.55979336141866,6487.29809680898,6482.17851008614,6489.85789017039,6479.61871672472,0.735963893222726,6487.90070218521,6486.42877439877,6488.63666607844,6485.69281050555,0,6486.5,0.5,1,1.75,0.755555555555556
2025-08-27T21:25:30.0000000,ES SEP25,6486.75,6486.75,6486.5,2,6486.75,6486.75,4,4,0,0,6484.73835841957,6487.16467743908,6484.73835841957,140301,2.55977758290993,6487.29813600248,6482.17858083666,6489.85791358539,6479.61880325375,0.735903088560866,6487.90058052764,6486.42877435052,6488.6364836162,6485.69287126196,0,6486.75,0.5,1,1.5,0.777777777777778
2025-08-27T21:25:40.0000000,ES SEP25,6486.5,6486.5,6486.5,1,6486.5,6486.5,3,3,0,0,6484.73838352884,6487.164829782,6484.73838352884,140304,2.559767980704,6487.29815150955,6482.17861554814,6489.85791949025,6479.61884756744,0.736000509257698,6487.90083029126,6486.42882927275,6488.63683080052,6485.69282876349,0,6486.5,0.5,1,1.5,0.755555555555556
